Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
122,FIFA 12,PS3,2011.00,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,1.719794344
123,Big Brain Academy,DS,2005.00,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,1.714652956
124,Red Dead Redemption,PS3,2010.00,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,1.696658098
126,Donkey Kong Country Returns,Wii,2010.00,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,1.694087404
125,FIFA 15,PS4,2014.00,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,1.694087404
127,The Elder Scrolls V: Skyrim,PS3,2011.00,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,1.686375321
128,The Legend of Zelda,NES,1986.00,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1.673521851
129,Assassin's Creed III,PS3,2012.00,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,1.670951157
130,Halo: Combat Evolved,XB,2001.00,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,1.652956298
131,Pokémon Emerald Version,GBA,2004.00,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,1.64781491
132,Kingdom Hearts,PS2,2002.00,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,1.645244216
133,Pokémon Crystal Version,GB,2000.00,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,1.642673522
134,Halo 3: ODST,X360,2009.00,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,1.63496144
135,Red Dead Redemption,X360,2010.00,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,1.629820051
136,Super Mario Sunshine,GC,2002.00,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,1.622107969
137,Street Fighter II: The World Warrior,SNES,1992.00,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1.619537275
138,World of Warcraft,PC,2004.00,Role-Playing,Activision,0.07,6.21,0,0,6.28,1.614395887
139,Driver,PS,1999.00,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,1.611825193
140,Kinect Sports,X360,2010.00,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,1.604113111
141,Gears of War 3,X360,2011.00,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,1.604113111
142,Gears of War,X360,2006.00,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,1.570694087
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.00,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,1.555269923
146,Metal Gear Solid,PS,1998.00,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1.550128535
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.00,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,1.550128535
144,Sonic the Hedgehog 2,GEN,1992.00,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1.550128535
147,The Last of Us,PS3,2013.00,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,1.539845758
148,Final Fantasy XII,PS2,2006.00,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,1.529562982
149,LittleBigPlanet,PS3,2008.00,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,1.5218509
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.00,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,1.501285347
151,LEGO Star Wars: The Complete Saga,Wii,2007.00,Action,LucasArts,3.66,1.63,0,0.53,5.83,1.498714653
152,Resident Evil 2,PS,1998.00,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1.496143959
153,Tekken 2,PS,1996.00,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,1.475578406
154,Cooking Mama,DS,2006.00,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,1.470437018
155,Destiny,PS4,2014.00,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,1.452442159
156,Tetris,NES,1988.00,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1.434447301
157,Assassin's Creed II,PS3,2009.00,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,1.431876607
158,Super Smash Bros.,N64,1999.00,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,1.426735219
159,Assassin's Creed,X360,2007.00,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,1.426735219
160,Batman: Arkham City,PS3,2011.00,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,1.42159383
161,Forza Motorsport 3,X360,2009.00,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,1.416452442
162,Monster Hunter Freedom Unite,PSP,2008.00,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,1.413881748
163,Super Mario Advance,GBA,2001.00,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,1.411311054
164,Mario Kart: Super Circuit,GBA,2001.00,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,1.406169666
165,Super Mario World,GBA,2001.00,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,1.403598972
166,Pokemon Stadium,N64,1999.00,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,1.401028278
167,Call of Duty: World at War,PS3,2008.00,Shooter,Activision,2.72,1.87,0,0.84,5.43,1.395886889
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.00,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,1.393316195
